Term_name,Term_def
1순위,아파트 당첨에서 가장 우선의 되는 순위.
1세대가구,"가구주와 동일세대에 속하는 친족만이 같이 사는 가구 부부, 부부+미혼형제자매, 부부+기타친인척, 가구주+미혼형제자매, 가구주+기타친인척, 기타"
1인 가구,"<정의> 혼자서 살림하는 가구를 말한다.
<해설> 1인이 독립적으로 취사, 취침 등의 생계를 유지하는 가구를 말한다."
2세대 가구,"<정의> 가구주와 그 직계 또는 방계의 친족 2세대가 함께 사는 가구를 말한다.
<해설> 부부+자녀, 부+자녀, 모+자녀, 부부+부모, 조부모+손자녀 등이 해당된다."
3세대 이상 가구,"「부부의 부모 + 부부 + 부부의 자녀」,「부부 + 부부의 자녀 + 부부의 손자녀」등 3세대 이상으로 이루어진 가구"
가구,1인 또는 2인 이상이 모여 주거 또는 소득과 지출 등 생계를 같이 하는 생활 단위(가계금융복지조사의 개념)
가구소득,"가구에서 한 해 동안 경상적(정기적, 규칙적, 예측 가능한)으로 벌어들이는 소득으로, 일시적 또는 우연히 발생하는 비경상소득(복권, 경조금 등)은 제외됨"
가점제,점수로 순위를 따져 아파트를 분양하는 것.
건물면적,"보통교실 및 특별교실(과학실험실, 미술실, 음악실 등), 관리실(서무실, 교무실, 교장실), 기타교실 등의 면적으로 부속 건물의 면적은 제외됨."
권리금,주로 상가 등을 빌리는 사람이 앞에 빌려서 살던 사람에게 내는 관행상의 금전으로 빌려주는 사람에게 내는 임차료와는 다르다.
계획관리지역,도시지역으로 편입이 예상되는 지역이나 자연환경을 고려하여 제한적인 이용 개발을 하려는 지역으로 계획적이고 체계적인 관리가 필요한 지역
공동주택,"대지 및 벽, 복도 , 계단, 기타 설비 등의 전부 또는 일부를 공동으로 사용하는 각 세대가 하나의 건축물 안에서 각각 독립된 주거생활을 영위할 수 있는 구조로 된 주택을 말한다. 아파트, 연립주택, 다세대주택이 공동주택에 속한다."
근린상업지역,"용도지역 중 상업지역의 하나로, 그린지역에서의 일용품 및 서비스의 공급을 위하여 지정된 지역을 말한다."
근저당,집의 빚이 걸려있는 것.
개별공시지가,"표준공시지가를 기준으로 시장・군수・구청장이 조사한 개별토지의 특성과 비교표준지의 특성을 비교하여, 토지가격비준표 상의 토지특성 차이에 따른 가격배율을 산출하고 이를 표준지공시지가에 곱하여 산정한 후 감정평가업자의 검증을 받아, 소유자 등의 의견수렴과 시・군・구 부동산평가위원회 심의 등의 절차를 거쳐 시장・군수・구청장이 결정・공시하는 개별토지의 단위면적당 가격(원/㎡)"
계약금,부동산을 팔고 사거나 임대차 계약을 체결할때 약정의 표시로 상대방에게 지급하는 금전 등을 말함.
낙수효과,부자의 소득이 더 많아지면 서민의 소득도 증가한다는 효과.
다가구 (단독)주택,여러 가구가 살 수 있도록 설계된 주택
"담보인정비율, LTV[Loan to Value Ratio]",담보 물건의 실제 가치 대비 대출금액 비율 1억짜리 주택의 LTV가 60% 적용된다면 담보대출을 6천만원까지만 빌릴 수 있다는 뜻이다
담보대출,집을 담보로 해서 대출을 받는 것
디딤돌 대출,주담대와 콜라보로 자주 등장하는 내집마련 디딤돌 대출. 이건 은행이 아니라 국가에서 해주는 것이고 주택금융공사에서 소득 수준에 따라 저금리로 돈을 빌려준다.
디플레이션,물가 하락을 뜻함.
